id,journey,ui_element,current_binding,identifier_type_unit,producer_authority,audience,publication_rule,freshness_revision,missing_behavior,update_withdrawal_effect,evidence,qualification,defect,map_version,field_model,field_name,consumer_file,provider,owner_editor,owner_save_publish,validation_actual,publication_gap,required_update_unpublish,source_commit,source_path,source_line,visibility_class,authority_class
CAT-143,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.publisherType,BuyV2PublishedCatalogueOffer.publisherType: BuyV2OfferPublisherType,BuyV2OfferPublisherType,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,publisherType,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,243,public_when_published,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-144,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.publisherId,BuyV2PublishedCatalogueOffer.publisherId: String,String,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,publisherId,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,244,public_contract_metadata_not_necessarily_rendered,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-145,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.publisherName,BuyV2PublishedCatalogueOffer.publisherName: String,String,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,publisherName,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,245,public_when_published,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-146,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.headline,BuyV2PublishedCatalogueOffer.headline: String,String,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,headline,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,246,public_when_published,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-147,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.sourceId,BuyV2PublishedCatalogueOffer.sourceId: String,String,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,sourceId,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,247,public_contract_metadata_not_necessarily_rendered,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-148,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.observedAt,BuyV2PublishedCatalogueOffer.observedAt: DateTime,DateTime,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,observedAt,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,248,public_contract_metadata_not_necessarily_rendered,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-149,OWNER-PUBLIC-HANDOFF,BuyV2PublishedCatalogueOffer.validUntil,BuyV2PublishedCatalogueOffer.validUntil: DateTime,DateTime,authorized store/wholesaler/manufacturer promotion plus platform publication provenance,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2PublishedCatalogueOffer,validUntil,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Offers catalogue; apps/mobile/lib/features/buy/buy_v2_session.dart:2823 offer pager,BuyV2Session.acquireCatalogueOffers through publishedCatalogueSource,"Store campaign UI / publishCampaign exists; ReviewRetailerCampaignGateway is a review stub, not this publication transport","RetailerSession.publishCampaign:2791 (owner approval, max orders/stock/spend checks); review gateway publish/pause; shared publication adapter MISSING","isCurrent checks nonblank identities/source/headline, Store ID, Shop/Wholesale destination, observedAt<=now<validUntil",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,249,public_contract_metadata_not_necessarily_rendered,authorized store/wholesaler/manufacturer promotion plus platform publication provenance
CAT-150,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonIdentity.specificationId,BuyV2ComparisonIdentity.specificationId: String,String,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonIdentity,specificationId,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1762,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-151,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonIdentity.packId,BuyV2ComparisonIdentity.packId: String,String,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonIdentity,packId,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1763,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-152,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonIdentity.unit,BuyV2ComparisonIdentity.unit: BuyV2ComparisonUnit,BuyV2ComparisonUnit,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonIdentity,unit,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1764,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-153,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonIdentity.packQuantityMilli,BuyV2ComparisonIdentity.packQuantityMilli: int,int,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonIdentity,packQuantityMilli,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1765,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-154,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonIdentity.containedRetailUnitId,BuyV2ComparisonIdentity.containedRetailUnitId: String?,String?,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonIdentity,containedRetailUnitId,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1769,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-155,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonOffer.id,BuyV2ComparisonOffer.id: String,String,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonOffer,id,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1947,public_contract_metadata_not_necessarily_rendered,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-156,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonOffer.revision,BuyV2ComparisonOffer.revision: String,String,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonOffer,revision,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1948,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-157,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonOffer.queryKey,BuyV2ComparisonOffer.queryKey: String,String,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonOffer,queryKey,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1949,public_contract_metadata_not_necessarily_rendered,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-158,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonOffer.snapshotId,BuyV2ComparisonOffer.snapshotId: String,String,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonOffer,snapshotId,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1950,public_contract_metadata_not_necessarily_rendered,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
CAT-159,OWNER-PUBLIC-HANDOFF,BuyV2ComparisonOffer.product,BuyV2ComparisonOffer.product: BuyV2Product,BuyV2Product,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ComparisonOffer,product,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:1666 comparison sheet; apps/mobile/lib/features/buy/buy_v2_session.dart:2264 offer admission,BuyV2Session.comparisonSource; comparisonQueryFor and comparisonOfferPermitted,"Owner supplies permitted selling-price/minimum/fulfilment inputs; no editor for computed totals, ranking or third-party freight",No proven owner-to-public publish action for this field,Existing comparison identity/current-price/quantity/charge completeness contracts; absent charges cannot produce a winning-price claim,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,1951,public_when_published,current owner offer plus validated tax/freight/stock/address/quantity quote; platform calculation
